deso,kommun,lan,kommunnamn,lannamn,2_doser,minst_1_dos
1482A0060,1482,14,Kungälv,Västra Götaland,0.72,0.88
1440C1100,1440,14,Ale,Västra Götaland,0.61,0.79
0687C1010,0687,06,Tranås,Jönköping,0.85,0.93
1466A0010,1466,14,Herrljunga,Västra Götaland,0.66,0.81
0512A0020,0512,05,Ydre,Östergötland,0.78,0.86
1280C2130,1280,12,Malmö,Skåne,0.66,0.79
0883A0040,0883,08,Västervik,Kalmar,0.88,0.93
0680B4020,0680,06,Jönköping,Jönköping,0.7,0.82
0687C1070,0687,06,Tranås,Jönköping,0.76,0.88
1419C1030,1419,14,Tjörn,Västra Götaland,0.75,0.9
0687C1060,0687,06,Tranås,Jönköping,0.71,0.82
1442A0020,1442,14,Vårgårda,Västra Götaland,0.65,0.8
1442C1010,1442,14,Vårgårda,Västra Götaland,0.59,0.81
0180C2740,0180,01,Stockholm,Stockholm,0.68,0.84
0180C2710,0180,01,Stockholm,Stockholm,0.72,0.86
1280C2240,1280,12,Malmö,Skåne,0.63,0.77
1280C2290,1280,12,Malmö,Skåne,0.54,0.73
1415C1010,1415,14,Stenungsund,Västra Götaland,0.64,0.83
1440B3010,1440,14,Ale,Västra Götaland,0.59,0.77
1419C1040,1419,14,Tjörn,Västra Götaland,0.76,0.87
1442C1020,1442,14,Vårgårda,Västra Götaland,0.62,0.79
0687C1030,0687,06,Tranås,Jönköping,0.7,0.81
0687C1080,0687,06,Tranås,Jönköping,0.51,0.63
0687C1040,0687,06,Tranås,Jönköping,0.83,0.92
1442A0010,1442,14,Vårgårda,Västra Götaland,0.65,0.83
0642A0010,0642,06,Mullsjö,Jönköping,0.67,0.79
1280C2200,1280,12,Malmö,Skåne,0.62,0.77
1442C1030,1442,14,Vårgårda,Västra Götaland,0.55,0.73
1482A0080,1482,14,Kungälv,Västra Götaland,0.61,0.8
1419A0010,1419,14,Tjörn,Västra Götaland,0.67,0.84
0182C1180,0182,01,Nacka,Stockholm,0.77,0.88
0182C1270,0182,01,Nacka,Stockholm,0.78,0.89
1280C2230,1280,12,Malmö,Skåne,0.57,0.75
0980A0180,0980,09,Gotland,Gotland,0.74,0.85
1415C1030,1415,14,Stenungsund,Västra Götaland,0.69,0.88
1280C2300,1280,12,Malmö,Skåne,0.51,0.65
1280C2310,1280,12,Malmö,Skåne,0.56,0.73
1442C1040,1442,14,Vårgårda,Västra Götaland,0.74,0.9
1462B2010,1462,14,Lilla Edet,Västra Götaland,0.55,0.78
1415C1020,1415,14,Stenungsund,Västra Götaland,0.65,0.87
1419B2010,1419,14,Tjörn,Västra Götaland,0.67,0.85
0687A0010,0687,06,Tranås,Jönköping,0.78,0.87
0883A0050,0883,08,Västervik,Kalmar,0.77,0.85
1415C1050,1415,14,Stenungsund,Västra Götaland,0.67,0.88
1415A0010,1415,14,Stenungsund,Västra Götaland,0.57,0.79
1415C1040,1415,14,Stenungsund,Västra Götaland,0.61,0.81
0180C5710,0180,01,Stockholm,Stockholm,0.46,0.6
0513B2020,0513,05,Kinda,Östergötland,0.78,0.89
0513B2010,0513,05,Kinda,Östergötland,0.79,0.91
1466C1010,1466,14,Herrljunga,Västra Götaland,0.76,0.87
1415C1060,1415,14,Stenungsund,Västra Götaland,0.7,0.88
1489A0030,1489,14,Alingsås,Västra Götaland,0.66,0.8
1499B4010,1499,14,Falköping,Västra Götaland,0.72,0.86
0687A0020,0687,06,Tranås,Jönköping,0.71,0.81
1415C1070,1415,14,Stenungsund,Västra Götaland,0.41,0.65
1466C1020,1466,14,Herrljunga,Västra Götaland,0.62,0.78
1419A0020,1419,14,Tjörn,Västra Götaland,0.68,0.84
1415C1090,1415,14,Stenungsund,Västra Götaland,0.59,0.8
0680A0090,0680,06,Jönköping,Jönköping,0.72,0.85
1415C1080,1415,14,Stenungsund,Västra Götaland,0.69,0.86
1489A0040,1489,14,Alingsås,Västra Götaland,0.67,0.83
1287C1080,1287,12,Trelleborg,Skåne,0.55,0.64
1419B2020,1419,14,Tjörn,Västra Götaland,0.67,0.86
0513A0010,0513,05,Kinda,Östergötland,0.79,0.88
1415C1100,1415,14,Stenungsund,Västra Götaland,0.66,0.83
1466A0040,1466,14,Herrljunga,Västra Götaland,0.7,0.83
1419B3010,1419,14,Tjörn,Västra Götaland,0.75,0.89
1466A0030,1466,14,Herrljunga,Västra Götaland,0.7,0.81
1442A0030,1442,14,Vårgårda,Västra Götaland,0.64,0.8
1466A0020,1466,14,Herrljunga,Västra Götaland,0.65,0.81
1440A0020,1440,14,Ale,Västra Götaland,0.62,0.78
0513A0020,0513,05,Kinda,Östergötland,0.8,0.88
1419A0030,1419,14,Tjörn,Västra Götaland,0.67,0.85
0883A0060,0883,08,Västervik,Kalmar,0.76,0.85
0643A0020,0643,06,Habo,Jönköping,0.69,0.81
0687A0030,0687,06,Tranås,Jönköping,0.77,0.88
1499A0010,1499,14,Falköping,Västra Götaland,0.69,0.81
1287C1040,1287,12,Trelleborg,Skåne,0.65,0.76
0187C1050,0187,01,Vaxholm,Stockholm,0.74,0.87
1462C1010,1462,14,Lilla Edet,Västra Götaland,0.53,0.68
1415C1110,1415,14,Stenungsund,Västra Götaland,0.71,0.83
1781A0030,1781,17,Kristinehamn,Värmland,0.85,0.92
1462C1020,1462,14,Lilla Edet,Västra Götaland,0.61,0.76
0180C3720,0180,01,Stockholm,Stockholm,0.79,0.9
1287C1060,1287,12,Trelleborg,Skåne,0.55,0.67
