lan,kommun,deso,lannamn,kommunnamn,regso,age,minst_1_dos,2_doser
12,1292,1292B2010,Skåne,Ängelholm,Munka Ljungby-Tåstarp-Toarp,18-64,70-80,60-70
12,1292,1292B2010,Skåne,Ängelholm,Munka Ljungby-Tåstarp-Toarp,65+,90-100,80-90
01,0136,0136C1270,Stockholm,Haninge,Brandbergen centrala,18-64,40-50,30-40
01,0136,0136C1270,Stockholm,Haninge,Brandbergen centrala,65+,70-80,70-80
01,0136,0136C1280,Stockholm,Haninge,Brandbergen centrala,18-64,40-50,30-40
01,0136,0136C1280,Stockholm,Haninge,Brandbergen centrala,65+,70-80,60-70
01,0140,0140C1030,Stockholm,Nykvarn,Nykvarn,18-64,80-90,60-70
01,0140,0140C1030,Stockholm,Nykvarn,Nykvarn,65+,90-100,90-100
12,1284,1284C1120,Skåne,Höganäs,Höganäs nordvästra-Strandbaden-Nyhamnsläge,18-64,80-90,60-70
12,1284,1284C1120,Skåne,Höganäs,Höganäs nordvästra-Strandbaden-Nyhamnsläge,65+,90-100,90-100
12,1256,1256C1020,Skåne,Östra Göinge,Broby öst,18-64,60-70,50-60
12,1256,1256C1020,Skåne,Östra Göinge,Broby öst,65+,80-90,80-90
12,1275,1275A0010,Skåne,Perstorp,Perstorp omland,18-64,70-80,60-70
12,1275,1275A0010,Skåne,Perstorp,Perstorp omland,65+,90-100,80-90
10,1080,1080A0060,Blekinge,Karlskrona,Fridlevstad-Tving,18-64,80-90,60-70
10,1080,1080A0060,Blekinge,Karlskrona,Fridlevstad-Tving,65+,90-100,90-100
10,1080,1080A0050,Blekinge,Karlskrona,Torhamn-Kristianopel-Jämjös omland,18-64,80-90,60-70
10,1080,1080A0050,Blekinge,Karlskrona,Torhamn-Kristianopel-Jämjös omland,65+,90-100,80-90
10,1060,1060A0010,Blekinge,Olofström,Olofström sydöstra-Gränum,18-64,80-90,60-70
10,1060,1060A0010,Blekinge,Olofström,Olofström sydöstra-Gränum,65+,90-100,80-90
12,1293,1293A0060,Skåne,Hässleholm,Ballingslöv-Norra Sandby-Mannarp,18-64,60-70,50-60
12,1293,1293A0060,Skåne,Hässleholm,Ballingslöv-Norra Sandby-Mannarp,65+,90-100,80-90
